fromDateTime,tillDateTime,parameter,value
2025-07-02T14:00:00.000Z,2025-07-02T15:00:00.000Z,PM1,1.54
2025-07-02T14:00:00.000Z,2025-07-02T15:00:00.000Z,PM25,2.09
2025-07-02T14:00:00.000Z,2025-07-02T15:00:00.000Z,PM10,3.09
2025-07-02T14:00:00.000Z,2025-07-02T15:00:00.000Z,PRESSURE,1017.41
2025-07-02T14:00:00.000Z,2025-07-02T15:00:00.000Z,HUMIDITY,33.09
2025-07-02T14:00:00.000Z,2025-07-02T15:00:00.000Z,TEMPERATURE,28.42
2025-07-02T15:00:00.000Z,2025-07-02T16:00:00.000Z,PM1,2.03
2025-07-02T15:00:00.000Z,2025-07-02T16:00:00.000Z,PM25,2.74
2025-07-02T15:00:00.000Z,2025-07-02T16:00:00.000Z,PM10,4.01
2025-07-02T15:00:00.000Z,2025-07-02T16:00:00.000Z,PRESSURE,1017.0
2025-07-02T15:00:00.000Z,2025-07-02T16:00:00.000Z,HUMIDITY,33.16
2025-07-02T15:00:00.000Z,2025-07-02T16:00:00.000Z,TEMPERATURE,28.47
2025-07-02T16:00:00.000Z,2025-07-02T17:00:00.000Z,PM1,1.48
2025-07-02T16:00:00.000Z,2025-07-02T17:00:00.000Z,PM25,2.05
2025-07-02T16:00:00.000Z,2025-07-02T17:00:00.000Z,PM10,3.02
2025-07-02T16:00:00.000Z,2025-07-02T17:00:00.000Z,PRESSURE,1016.77
2025-07-02T16:00:00.000Z,2025-07-02T17:00:00.000Z,HUMIDITY,35.47
2025-07-02T16:00:00.000Z,2025-07-02T17:00:00.000Z,TEMPERATURE,28.08
2025-07-02T17:00:00.000Z,2025-07-02T18:00:00.000Z,PM1,1.82
2025-07-02T17:00:00.000Z,2025-07-02T18:00:00.000Z,PM25,2.53
2025-07-02T17:00:00.000Z,2025-07-02T18:00:00.000Z,PM10,3.8
2025-07-02T17:00:00.000Z,2025-07-02T18:00:00.000Z,PRESSURE,1016.73
2025-07-02T17:00:00.000Z,2025-07-02T18:00:00.000Z,HUMIDITY,37.77
2025-07-02T17:00:00.000Z,2025-07-02T18:00:00.000Z,TEMPERATURE,27.65
2025-07-02T18:00:00.000Z,2025-07-02T19:00:00.000Z,PM1,2.66
2025-07-02T18:00:00.000Z,2025-07-02T19:00:00.000Z,PM25,3.69
2025-07-02T18:00:00.000Z,2025-07-02T19:00:00.000Z,PM10,5.48
2025-07-02T18:00:00.000Z,2025-07-02T19:00:00.000Z,PRESSURE,1016.74
2025-07-02T18:00:00.000Z,2025-07-02T19:00:00.000Z,HUMIDITY,46.86
2025-07-02T18:00:00.000Z,2025-07-02T19:00:00.000Z,TEMPERATURE,25.05
